year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
2014,LMY,238143978555.021,65834967476.8538,617312749321.979,96503848082.9132,320822899058.185,400605797403.548,12589437333959.2,53.2988414076829,15634.0,14833621215653.7,62.5004055151202,16.54,7.58856246138603,64.9785089077544,83.7555207289321,20.2125210576891,15.2896975628604,83.7746661998399,117.513342662212,3.56179436381993,11.8826538727782,46.68,60.59,50.66,59.36,59.01,46.87,64.3,42.0,54.99,-5250756.0
2014,MIC,237156153431.855,62752229916.7867,603519123024.433,96404652383.8915,310295710706.094,389505379473.887,12589437333959.2,53.2988414076829,15634.0,14833621215653.7,62.5004055151202,24.5,9.85894346335419,112.173510300126,84.5468802688808,20.3437625970559,15.3343829649214,84.5588878993763,114.544976507975,3.53436856147324,11.9596730491982,48.85,62.86,52.88,61.67,61.0,49.68,65.54,44.69,57.26,-3296315.0
2014,NGA,1614294500.0,54615715.5825,4693828631.89583,1044955627.9525,20799005200.0,20999084800.0,62766310000.0,10.9313975768097,188.0,5132910000.0,0.893948998052969,16.19,5.53049153182941,30.6557380252558,13.2902122441457,35.983772509683,3.92421294227136,13.2970053767392,22.6896110241531,8.04741087967907,0.637528905176838,30.51,53.71,34.02,54.36,48.89,28.08,56.03,35.75,44.44,-19376.0
2014,PER,836946471.701333,0.0,4262751633.55747,-79450788.9900001,2636539865.44552,2636539865.44552,78839860000.0,39.2655671247928,211.0,3227690000.0,1.60752541104236,56.73,8.20784612815067,161.303806888642,40.8956285189469,34.2903886971691,12.4567329638043,40.8996268175973,45.0784122840792,3.41194579807465,-11.995302530271,15.72,37.78,22.5,35.66,32.47,12.04,33.14,19.54,28.98,-50383.0
2014,POL,6768000000.0,2183000000.0,20877000000.0,3377000000.0,3669000000.0,7468000000.0,168895630000.0,31.1538434994729,872.0,57794630000.0,10.6605769381359,63.41,32.9972123343536,463.470433454884,52.6221464669352,13.1646819409023,4.25066485654918,52.623549823882,61.9241777936305,0.0538213132399802,9.84887599879545,71.32,82.22,72.96,83.26,80.37,50.67,83.68,63.68,77.86,5525.0
2014,PSE,187455372.110986,36128914.1204803,159711665.338643,-2918735.0500001,355103268.235682,1804542444.53874,3187260000.0,22.7829045655018,48.0,353910000.0,2.52978977390509,22.04,11.1530284730733,112.173510300126,27.3009808144563,12.6061422285654,1.09049149181729,27.3246796047092,57.4389810596367,1.73298510037447,4.49913661064926,15.64,29.97,21.21,27.34,33.45,25.09,23.91,10.58,24.24,-27077.0
2014,ROU,269206756.850865,592768806.76975,3869197075.10542,534835681.817057,2658385266.53904,5083522748.60437,22386840000.0,11.2089825695727,81.0,1550730000.0,0.776443014740509,65.12,30.8104948329984,213.641604384544,31.085760270442,21.9781647532591,5.79071838380503,31.085760270442,39.1194090495661,1.06830987684298,4.43098967626195,44.85,71.46,56.87,65.15,61.95,34.55,72.26,55.03,60.84,-35448.0
2014,SAS,11917055032.8662,8044180133.17898,40326751703.1801,13665913956.4737,111825316069.857,115816281171.273,1778831517024.67,77.5244822958734,6909.0,780382443288.323,30.4132148652204,8.285,8.87460218536447,22.5316437062461,46.4375773027287,11.4694167357851,6.47203538642102,46.4691426658162,72.252469322668,6.82864780544374,22.9212062401734,37.9,52.21,37.49,55.19,50.28,36.34,59.58,36.81,46.49,-3256168.0
2014,THA,5741755222.97855,3620432108.44106,4975455660.4459,-5811449015.5736,4615464578.68417,6524114891.68417,430426610000.0,105.667900084202,613.0,310639820000.0,76.2607531675014,114.21,12.1636095090945,299.222310491172,113.994129533959,19.1887015753434,6.66361179348732,114.014322463571,127.049552300537,1.8951418189878,15.2868242329437,71.36,82.64,75.44,81.24,79.76,73.2,85.36,70.55,78.14,55358.0
2014,TUN,21794450.0,28450675.1881249,1024754443.57725,71921893.1774338,1961329465.29813,2346621114.17085,8743770000.0,17.3929872268739,77.0,887200000.0,1.76480605822003,24.5,18.7073917567288,207.696831117495,59.7678392192062,4.06194229578541,3.11530414077352,59.8085555890782,65.3029596183499,4.62555099534031,7.89160374572911,14.81,35.81,20.7,34.25,30.49,22.52,33.39,18.77,27.43,-26586.0
